39477530,122,2025-07-04T23:24:41.1959747
35823970,68,2025-07-04T23:24:56.8045549
39431899,186,2025-07-04T23:24:48.0708167
12785220,140,2025-07-04T23:24:50.7493931
38501889,79,2025-07-04T23:24:43.8087951
39422997,110,2025-07-04T23:24:39.5480876
35709164,114,2025-07-04T23:24:49.8291073
39489044,124,2025-07-04T23:24:38.9548632
39477512,109,2025-07-04T23:24:37.5127713
39477385,92,2025-07-04T23:24:42.3101749
39431754,139,2025-07-04T23:24:49.2960621
39477452,179,2025-07-04T23:24:40.2427099
39431939,162,2025-07-04T23:24:48.7041734
39488961,101,2025-07-04T23:24:41.6989389
38207964,112,2025-07-04T23:24:55.4845922
38023320,165,2025-07-04T23:24:51.6694855
18382789,91,2025-07-04T23:24:35.4034939
22198863,37,2025-07-04T23:24:36.0796923
27576761,107,2025-07-04T23:24:36.7297982
37898397,88,2025-07-04T23:24:52.2413386
39477560,180,2025-07-04T23:24:38.5068392
39489017,134,2025-07-04T23:24:43.1200799
18607288,89,2025-07-04T23:24:54.5038655
39422974,132,2025-07-04T23:24:47.1523869
19325087,78,2025-07-04T23:24:44.6300185
24872071,232,2025-07-04T23:27:23.4858825
