20302132,37,2025-08-31T20:09:00.15502
39431899,153,2025-09-05T22:46:08.5045471
39365083,188,2025-08-31T20:09:10.40775
12785220,140,2025-08-31T20:09:02.0006962
4029879,252,2025-08-31T20:09:05.6822155
39431754,120,2025-09-05T22:46:09.6185361
38049490,128,2025-08-31T20:09:08.3918911
39477452,172,2025-09-05T22:46:13.6984939
38207964,112,2025-09-02T23:51:04.5045477
39488961,95,2025-09-05T22:46:23.2084286
22198863,37,2025-08-31T20:08:49.887352
27576761,107,2025-08-31T20:08:51.6807742
14004343,76,2025-08-31T20:09:06.7035782
18607288,89,2025-08-31T20:08:52.9647405
39489017,104,2025-09-02T23:51:07.1446619
39422974,106,2025-09-02T23:51:01.8504859
38508640,272,2025-08-31T20:08:59.0667769
11499010,236,2025-08-31T20:08:57.1521357
38268791,67,2025-08-31T20:08:58.0914165
17381425,69,2025-08-31T20:09:02.917719
19325087,78,2025-08-31T20:08:54.1738609
39488992,109,2025-09-05T22:46:22.2486408
39529446,119,2025-09-05T22:46:21.2419416
39511015,220,2025-09-05T22:46:26.2472805
35823970,68,2025-09-02T23:51:05.9249478
39477530,110,2025-09-05T22:46:15.0000823
19795564,41,2025-08-31T20:09:09.4698275
39505949,81,2025-08-31T20:09:00.8960218
38501889,79,2025-09-02T23:51:08.0026123
35709164,114,2025-09-02T23:51:03.0680866
39422997,97,2025-09-05T22:46:11.5447193
30888090,91,2025-08-31T20:09:04.8346514
39489044,107,2025-09-05T22:46:20.24125
39477512,90,2025-09-05T22:46:17.9670137
39477385,90,2025-08-31T19:55:47.62908
39529487,182,2025-08-31T20:08:55.1042746
39510925,138,2025-09-05T22:46:18.7852147
39431939,136,2025-09-05T22:46:10.6050448
38023320,151,2025-09-05T22:46:17.042566
18382789,91,2025-08-31T19:55:46.2894009
37898397,70,2025-09-05T22:46:25.1243274
14014261,80,2025-08-31T20:09:03.9924742
39422907,119,2025-09-05T22:46:07.4870361
39477560,99,2025-09-05T22:46:12.5574216
11564125,259,2025-08-31T20:09:11.2504133
39505973,135,2025-09-05T22:46:24.0097004
24872071,231,2025-08-31T20:08:56.2516194
38172345,145,2025-08-31T20:09:07.5450537
39511077,343,2025-09-05T22:46:15.7980178
